size;resolution;nanoseconds
4;640x360;2017400
3;320x180;1328500
2;160x90;1116800
1;80x45;960600
5;1280x720;6498100
4;640x360;2291000
3;320x180;1168300
2;160x90;890200
1;80x45;886500
5;1280x720;6806300
4;640x360;2196100
3;320x180;1704700
2;160x90;1371900
1;80x45;1080400
5;1280x720;7162800
4;640x360;2176000
3;320x180;1249100
2;160x90;1208500
1;80x45;1014700
5;1280x720;6629000
4;640x360;1947800
3;320x180;1130900
2;160x90;974700
1;80x45;910800
5;1280x720;7164700
4;640x360;1999400
3;320x180;1407100
2;160x90;1052100
1;80x45;518600
5;1280x720;6778600
4;640x360;1933500
3;320x180;1125200
2;160x90;1134900
1;80x45;974600
5;1280x720;8025000
4;640x360;2340000
3;320x180;1661700
2;160x90;1117300
1;80x45;1096800
5;1280x720;6823900
4;640x360;1769800
3;320x180;1379500
2;160x90;1031900
1;80x45;1071900
5;1280x720;6667000
4;640x360;1894900
3;320x180;1101500
2;160x90;923700
1;80x45;880700
5;1280x720;6633700
4;640x360;2003100
3;320x180;1251000
2;160x90;1088300
1;80x45;1052300
5;1280x720;6568500
4;640x360;1638600
3;320x180;1382400
2;160x90;1274400
1;80x45;979400
5;1280x720;7353300
4;640x360;2245300
3;320x180;1463600
2;160x90;882700
1;80x45;627300
5;1280x720;6600000
4;640x360;2142900
3;320x180;1297600
2;160x90;1118000
1;80x45;996300
5;1280x720;6617200
4;640x360;2121400
3;320x180;1283300
2;160x90;1181100
1;80x45;532400
5;1280x720;22664900
4;640x360;2065300
3;320x180;1292100
2;160x90;1025500
1;80x45;1153300
5;1280x720;6777900
4;640x360;2227200
3;320x180;1275200
2;160x90;1165200
1;80x45;955500
5;1280x720;6747300
4;640x360;2007200
3;320x180;1224200
2;160x90;1040800
1;80x45;932200
5;1280x720;7114200
4;640x360;1912900
3;320x180;1135200
2;160x90;922800
1;80x45;879800
5;1280x720;7046500
4;640x360;2552000
3;320x180;1365300
2;160x90;1361200
1;80x45;944100
5;1280x720;7041200
4;640x360;2133000
3;320x180;1295500
2;160x90;1094900
1;80x45;912700
5;1280x720;6928600
4;640x360;2495800
3;320x180;1335500
2;160x90;1189200
1;80x45;1231100
5;1280x720;19351300
4;640x360;2158900
3;320x180;1191700
2;160x90;989100
1;80x45;909700
5;1280x720;7650800
4;640x360;1992600
3;320x180;1459500
2;160x90;1015300
1;80x45;932600
5;1280x720;7324700
4;640x360;2162800
3;320x180;1271000
2;160x90;1155700
1;80x45;979900
5;1280x720;6367400
4;640x360;1959500
3;320x180;1144300
2;160x90;931300
1;80x45;903800
5;1280x720;6623300
4;640x360;1977300
3;320x180;1327300
2;160x90;577800
1;80x45;1047500
5;1280x720;6504500
4;640x360;2011100
3;320x180;1211400
2;160x90;955900
1;80x45;996600
5;1280x720;7036000
4;640x360;2382400
3;320x180;7023100
2;160x90;1261000
1;80x45;1014500
5;1280x720;6831200
4;640x360;2149800
3;320x180;1340400
2;160x90;1147400
1;80x45;1043300
5;1280x720;6716600
4;640x360;1985000
3;320x180;1179700
2;160x90;970100
1;80x45;886900
5;1280x720;6451300
4;640x360;1977700
3;320x180;1262600
2;160x90;992300
1;80x45;861500
5;1280x720;6524300
4;640x360;2224200
3;320x180;1803100
2;160x90;1201700
1;80x45;1136100
5;1280x720;7491700
4;640x360;2397400
3;320x180;1403300
2;160x90;1197200
1;80x45;1185900
5;1280x720;6754100
4;640x360;2080300
3;320x180;1284800
2;160x90;1075100
1;80x45;1147700
5;1280x720;12164500
4;640x360;2451700
3;320x180;1321800
2;160x90;1130800
1;80x45;1074400
5;1280x720;6967400
4;640x360;2176800
3;320x180;1597700
2;160x90;1134800
1;80x45;947600
5;1280x720;5974000
4;640x360;2200400
3;320x180;1348000
2;160x90;1119900
1;80x45;980800
5;1280x720;6850400
4;640x360;7479000
3;320x180;1380400
2;160x90;1078600
1;80x45;1022500
5;1280x720;6962300
4;640x360;2323500
3;320x180;1502300
2;160x90;1097400
1;80x45;983400
5;1280x720;6789700
4;640x360;2153300
3;320x180;1331100
2;160x90;1022900
1;80x45;1080800
5;1280x720;6708300
4;640x360;1952100
3;320x180;1341400
2;160x90;1105000
1;80x45;1157300
5;1280x720;6563600
4;640x360;1640700
3;320x180;1155400
2;160x90;951400
1;80x45;873200
5;1280x720;7024600
4;640x360;2126300
3;320x180;1318300
2;160x90;1105500
1;80x45;972100
5;1280x720;6304400
4;640x360;1548000
3;320x180;748300
2;160x90;1133300
1;80x45;1049600
5;1280x720;9848800
4;640x360;1938000
3;320x180;1172500
2;160x90;995700
1;80x45;877800
5;1280x720;10586800
4;640x360;2430700
3;320x180;1461500
2;160x90;1349000
1;80x45;965800
5;1280x720;6955700
4;640x360;2025400
3;320x180;1298400
2;160x90;994200
1;80x45;933900
5;1280x720;6649100
4;640x360;2025700
3;320x180;1195800
2;160x90;992800
1;80x45;992400
5;1280x720;7217600
4;640x360;1909100
3;320x180;1018200
2;160x90;1092200
1;80x45;926100
5;1280x720;6669800
4;640x360;2157900
3;320x180;770200
2;160x90;552600
1;80x45;1035400
5;1280x720;6697100
4;640x360;2230800
3;320x180;1218600
2;160x90;985100
1;80x45;895300
5;1280x720;6669700
4;640x360;2269100
3;320x180;1255600
2;160x90;592800
1;80x45;526200
5;1280x720;6347600
4;640x360;1555300
3;320x180;764000
2;160x90;997500
1;80x45;899800
5;1280x720;6880300
4;640x360;1989200
3;320x180;1420000
2;160x90;1152800
1;80x45;1126900
5;1280x720;6623000
4;640x360;2148800
3;320x180;1640000
2;160x90;1183700
1;80x45;1032100
5;1280x720;6727600
4;640x360;1976900
3;320x180;1164800
2;160x90;988300
1;80x45;885800
5;1280x720;6830600
4;640x360;2147400
3;320x180;1224100
2;160x90;1051100
1;80x45;943600
5;1280x720;6926100
4;640x360;1913400
3;320x180;1109300
2;160x90;1021500
1;80x45;1084100
5;1280x720;6884300
4;640x360;1977000
3;320x180;1145600
2;160x90;953200
1;80x45;859200
5;1280x720;7049700
4;640x360;8156100
3;320x180;1804800
2;160x90;1202100
1;80x45;1074200
5;1280x720;6670700
4;640x360;2013500
3;320x180;1289900
2;160x90;1096800
1;80x45;945500
5;1280x720;6638500
4;640x360;1976900
3;320x180;823600
2;160x90;1319500
1;80x45;978600
5;1280x720;6484800
4;640x360;2327000
3;320x180;949700
2;160x90;1113100
1;80x45;987900
5;1280x720;6513000
4;640x360;1718100
3;320x180;1260500
2;160x90;1159800
1;80x45;1007700
5;1280x720;6724000
4;640x360;2172900
3;320x180;3245500
2;160x90;1290300
1;80x45;1200700
5;1280x720;6540100
4;640x360;1940500
3;320x180;1097900
2;160x90;1019800
1;80x45;1105700
5;1280x720;6631500
4;640x360;2030700
3;320x180;1245300
2;160x90;941500
1;80x45;870600
5;1280x720;6888300
4;640x360;2112700
3;320x180;1198800
2;160x90;1152100
1;80x45;980800
5;1280x720;25171100
4;640x360;2563000
3;320x180;1768500
2;160x90;1335500
1;80x45;1468400
5;1280x720;7502100
4;640x360;2220600
3;320x180;1348000
2;160x90;1144500
1;80x45;981900
5;1280x720;7528800
4;640x360;2045300
3;320x180;816900
2;160x90;547000
1;80x45;469500
5;1280x720;7002100
4;640x360;1975100
3;320x180;1107400
2;160x90;1030800
1;80x45;911500
5;1280x720;6760300
4;640x360;2151100
3;320x180;1347000
2;160x90;1034000
1;80x45;712900
5;1280x720;6411100
4;640x360;2082300
3;320x180;1240100
2;160x90;1067600
1;80x45;968700
5;1280x720;7180200
4;640x360;2082100
3;320x180;1245500
2;160x90;1140000
1;80x45;1036000
5;1280x720;7430100
4;640x360;2131300
3;320x180;1185200
2;160x90;1107000
1;80x45;1089700
5;1280x720;6820600
4;640x360;2048100
3;320x180;1454700
2;160x90;995500
1;80x45;955100
5;1280x720;6432500
4;640x360;1898300
3;320x180;1136000
2;160x90;962700
1;80x45;900200
5;1280x720;6611500
4;640x360;2017600
3;320x180;1263900
2;160x90;1020800
1;80x45;937000
5;1280x720;6342800
4;640x360;1993500
3;320x180;1202700
2;160x90;1050000
1;80x45;1064500
5;1280x720;6899500
4;640x360;2021700
3;320x180;1149300
2;160x90;975000
1;80x45;1053200
5;1280x720;6948600
4;640x360;2480700
3;320x180;1523900
2;160x90;1457400
1;80x45;1263800
5;1280x720;6709700
4;640x360;2106600
3;320x180;1181600
2;160x90;1011800
1;80x45;943100
5;1280x720;6869900
4;640x360;1973400
3;320x180;1235700
2;160x90;1057900
1;80x45;1395900
5;1280x720;6345400
4;640x360;1910900
3;320x180;1096900
2;160x90;931900
1;80x45;867700
5;1280x720;6678700
4;640x360;1914300
3;320x180;1133400
2;160x90;907800
1;80x45;867500
5;1280x720;6696900
4;640x360;1981600
3;320x180;764500
2;160x90;578000
1;80x45;475400
5;1280x720;7010400
4;640x360;2053600
3;320x180;1329200
2;160x90;946000
1;80x45;980500
5;1280x720;6736500
4;640x360;1961700
3;320x180;1101100
2;160x90;517500
1;80x45;991500
5;1280x720;6773500
4;640x360;1910000
3;320x180;1122900
2;160x90;925700
1;80x45;838300
5;1280x720;6071600
4;640x360;1911800
3;320x180;1175000
2;160x90;1082300
1;80x45;930100
5;1280x720;6675200
4;640x360;2065800
3;320x180;1183300
2;160x90;1033400
1;80x45;1034600
5;1280x720;6509700
4;640x360;1909300
3;320x180;1156000
2;160x90;977600
1;80x45;922800
5;1280x720;2272600
4;640x360;699400
3;320x180;387400
2;160x90;342600
1;80x45;368100
5;1280x720;3380500
4;640x360;679300
3;320x180;356000
2;160x90;296300
1;80x45;273600
5;1280x720;2237400
4;640x360;663900
3;320x180;427100
2;160x90;396400
1;80x45;350500
5;1280x720;2048500
4;640x360;559700
3;320x180;342800
2;160x90;340400
1;80x45;342500
5;1280x720;2588900
4;640x360;621600
3;320x180;408800
2;160x90;372300
1;80x45;352500
5;1280x720;2217800
4;640x360;635400
3;320x180;355900
2;160x90;303100
1;80x45;276900
5;1280x720;10532400
4;640x360;9776600
3;320x180;6877100
2;160x90;1404000
1;80x45;6136700
5;1280x720;5943600
4;640x360;1989300
3;320x180;1246000
2;160x90;1057700
1;80x45;892400
5;1280x720;6303900
4;640x360;2005800
3;320x180;9945600
2;160x90;1135600
1;80x45;1128500
5;1280x720;6995800
4;640x360;2070000
3;320x180;1262000
2;160x90;1078100
1;80x45;1005500
5;1280x720;6998600
4;640x360;2103500
3;320x180;1579300
2;160x90;1261800
1;80x45;460300
5;1280x720;6125100
4;640x360;2093600
3;320x180;1316400
2;160x90;1170200
1;80x45;1001500
5;1280x720;6711000
4;640x360;1531100
3;320x180;768100
2;160x90;517400
1;80x45;616800
5;1280x720;6259300
4;640x360;3262900
3;320x180;3354900
2;160x90;1893800
1;80x45;1269200
5;1280x720;12047400
4;640x360;4711200
3;320x180;2313100
2;160x90;2906400
1;80x45;3194800
5;1280x720;6312000
4;640x360;6272400
3;320x180;1185800
2;160x90;865000
1;80x45;832300
5;1280x720;6702300
4;640x360;1912900
3;320x180;1116400
2;160x90;936100
1;80x45;873700
5;1280x720;6603100
4;640x360;2025300
3;320x180;1287600
2;160x90;966500
1;80x45;891100
5;1280x720;6209500
4;640x360;1521900
3;320x180;724400
2;160x90;1059600
1;80x45;930400
5;1280x720;6555800
4;640x360;1977400
3;320x180;1281200
2;160x90;924400
1;80x45;879300
5;1280x720;6833000
4;640x360;2156800
3;320x180;1405900
2;160x90;1012100
1;80x45;1026000
5;1280x720;7452300
4;640x360;2274600
3;320x180;1226000
2;160x90;942000
1;80x45;898200
5;1280x720;6586800
4;640x360;1862500
3;320x180;1133400
2;160x90;923400
1;80x45;885400
5;1280x720;6912600
4;640x360;7685300
3;320x180;1422400
2;160x90;1071800
1;80x45;936600
5;1280x720;7101200
4;640x360;2159800
3;320x180;1139300
2;160x90;1344100
1;80x45;960400
5;1280x720;6295800
4;640x360;1946400
3;320x180;1111700
2;160x90;921200
1;80x45;865600
5;1280x720;6755600
4;640x360;1910100
3;320x180;1088800
2;160x90;966200
1;80x45;869900
5;1280x720;6368000
4;640x360;1959800
3;320x180;1222500
2;160x90;990100
1;80x45;939800
5;1280x720;2220600
4;640x360;686000
3;320x180;478000
2;160x90;362400
1;80x45;396200
5;1280x720;2123700
4;640x360;807200
3;320x180;506800
2;160x90;409100
1;80x45;427500
5;1280x720;2659300
4;640x360;815900
3;320x180;453000
2;160x90;414000
1;80x45;331100
5;1280x720;1998200
4;640x360;665300
3;320x180;389300
2;160x90;295100
1;80x45;267700
5;1280x720;1917700
4;640x360;654300
3;320x180;346500
2;160x90;291700
1;80x45;264600
5;1280x720;2003900
4;640x360;592500
3;320x180;379000
2;160x90;346200
1;80x45;282800
5;1280x720;6199900
4;640x360;1554500
3;320x180;759500
2;160x90;622000
1;80x45;494800
5;1280x720;6742400
4;640x360;2074800
3;320x180;1288400
2;160x90;1778800
1;80x45;1509400
5;1280x720;1993600
4;640x360;769300
3;320x180;342900
2;160x90;296200
1;80x45;267400
5;1280x720;47265400
4;640x360;14987400
3;320x180;15193100
2;160x90;15111600
1;80x45;16066400
5;1280x720;2341900
4;640x360;711500
3;320x180;497300
2;160x90;361500
1;80x45;336100
5;1280x720;60789400
4;640x360;1384500
3;320x180;15195900
2;160x90;15371200
1;80x45;15689100
5;1280x720;1890200
4;640x360;628100
3;320x180;408800
2;160x90;325800
1;80x45;281700
5;1280x720;2804600
4;640x360;17204100
3;320x180;21207700
2;160x90;25472900
1;80x45;15714700
5;1280x720;16088300
4;640x360;16073500
3;320x180;15629100
2;160x90;15106100
1;80x45;15895300
5;1280x720;2407100
4;640x360;646100
3;320x180;354000
2;160x90;273300
1;80x45;243200
5;1280x720;47118800
4;640x360;15941100
3;320x180;15919400
2;160x90;15623900
1;80x45;15294300
5;1280x720;1916700
4;640x360;595000
3;320x180;377900
2;160x90;329700
1;80x45;302600
5;1280x720;48313200
4;640x360;15876700
3;320x180;15492100
2;160x90;15252700
1;80x45;15902600
5;1280x720;2358200
4;640x360;723400
3;320x180;431900
2;160x90;451100
1;80x45;599000
5;1280x720;2101600
4;640x360;863600
3;320x180;17857400
2;160x90;15018400
1;80x45;15752200
5;1280x720;56015400
4;640x360;14694400
3;320x180;2997800
2;160x90;801500
1;80x45;577900
5;1280x720;1894600
4;640x360;631400
3;320x180;418100
2;160x90;372900
1;80x45;275800
5;1280x720;32406800
4;640x360;16209500
3;320x180;19303500
2;160x90;11967100
1;80x45;16271600
5;1280x720;2243300
4;640x360;754000
3;320x180;374900
2;160x90;336100
1;80x45;246200
5;1280x720;48021900
4;640x360;6296800
3;320x180;509500
2;160x90;466400
1;80x45;471200
5;1280x720;3255900
4;640x360;2960500
3;320x180;433600
2;160x90;4634500
1;80x45;522100
5;1280x720;1819800
4;640x360;567300
3;320x180;359700
2;160x90;363000
1;80x45;335300
5;1280x720;44108300
4;640x360;15884500
3;320x180;15686100
2;160x90;16535600
1;80x45;10558300
5;1280x720;1983800
4;640x360;688100
3;320x180;481000
2;160x90;319600
1;80x45;302500
5;1280x720;46023000
4;640x360;15728800
3;320x180;15860400
2;160x90;15768900
1;80x45;18101200
5;1280x720;1864100
4;640x360;561500
3;320x180;333200
2;160x90;305800
1;80x45;273600
5;1280x720;4863400
4;640x360;2260100
3;320x180;24888700
2;160x90;20886900
1;80x45;11229400
5;1280x720;19807700
4;640x360;12255200
3;320x180;16011600
2;160x90;15129100
1;80x45;15993400
5;1280x720;1839900
4;640x360;537700
3;320x180;373900
2;160x90;369200
1;80x45;345500
5;1280x720;39502000
4;640x360;16053700
3;320x180;15661500
2;160x90;15483900
1;80x45;15841400
5;1280x720;2445700
4;640x360;679700
3;320x180;424900
2;160x90;536500
1;80x45;329200
5;1280x720;9844900
4;640x360;1099700
3;320x180;923800
2;160x90;1231900
1;80x45;849900
5;1280x720;5611100
4;640x360;25832600
3;320x180;15560700
2;160x90;15879300
1;80x45;15412700
5;1280x720;2032200
4;640x360;613800
3;320x180;431600
2;160x90;399600
1;80x45;354900
5;1280x720;31761100
4;640x360;13170700
3;320x180;15576200
2;160x90;15803400
1;80x45;14408700
5;1280x720;1989800
4;640x360;592300
3;320x180;347800
2;160x90;375300
1;80x45;353300
5;1280x720;48130800
4;640x360;12441700
3;320x180;15014100
2;160x90;15613400
1;80x45;14636700
5;1280x720;4066200
4;640x360;683100
3;320x180;2985400
2;160x90;624500
1;80x45;5795000
5;1280x720;1779400
4;640x360;617600
3;320x180;340400
2;160x90;290500
1;80x45;349300
5;1280x720;48098700
4;640x360;15441500
3;320x180;15599100
2;160x90;17998800
1;80x45;12054400
5;1280x720;1976000
4;640x360;605600
3;320x180;377900
2;160x90;348900
1;80x45;310000
5;1280x720;19009600
4;640x360;13591800
3;320x180;15221000
2;160x90;15219500
1;80x45;12017300
5;1280x720;14982700
4;640x360;783900
3;320x180;16472000
2;160x90;1846700
1;80x45;546600
5;1280x720;1740400
4;640x360;615100
3;320x180;410900
2;160x90;359300
1;80x45;330700
5;1280x720;30299000
4;640x360;15530700
3;320x180;15078900
2;160x90;17631300
1;80x45;14685100
5;1280x720;2364400
4;640x360;715700
3;320x180;420000
2;160x90;445300
1;80x45;454800
5;1280x720;2898800
4;640x360;829600
3;320x180;590000
2;160x90;720200
1;80x45;486800
5;1280x720;2694400
4;640x360;5846700
3;320x180;981500
2;160x90;823900
1;80x45;9254200
5;1280x720;1971500
4;640x360;622200
3;320x180;411000
2;160x90;369800
1;80x45;337800
5;1280x720;32267900
4;640x360;15499000
3;320x180;15797400
2;160x90;16002900
1;80x45;16239600
5;1280x720;2426300
4;640x360;763000
3;320x180;468700
2;160x90;359800
1;80x45;306900
5;1280x720;19315700
4;640x360;11830500
3;320x180;16191300
2;160x90;14457300
1;80x45;728100
5;1280x720;4860800
4;640x360;792600
3;320x180;5455000
2;160x90;727000
1;80x45;673400
5;1280x720;2392600
4;640x360;656000
3;320x180;383400
2;160x90;332900
1;80x45;293200
5;1280x720;4065900
4;640x360;12348300
3;320x180;1238400
2;160x90;14046000
1;80x45;14475700
5;1280x720;2024900
4;640x360;792700
3;320x180;347600
2;160x90;285500
1;80x45;294300
5;1280x720;47326700
4;640x360;15524900
3;320x180;14699700
2;160x90;15518400
1;80x45;16228400
5;1280x720;12332300
4;640x360;1718400
3;320x180;14456500
2;160x90;895200
1;80x45;17566400
5;1280x720;1701500
4;640x360;537100
3;320x180;333500
2;160x90;336300
1;80x45;261400
5;1280x720;63150800
4;640x360;16120100
3;320x180;14930500
2;160x90;15488000
1;80x45;14912100
5;1280x720;2464000
4;640x360;1628600
3;320x180;456800
2;160x90;337200
1;80x45;722800
5;1280x720;4185600
4;640x360;1599200
3;320x180;2677700
2;160x90;1359400
1;80x45;13943300
5;1280x720;15169800
4;640x360;14187800
3;320x180;4226500
2;160x90;490400
1;80x45;478900
5;1280x720;2942300
4;640x360;741900
3;320x180;446200
2;160x90;578200
1;80x45;508300
5;1280x720;49199700
4;640x360;13448700
3;320x180;14731000
2;160x90;15658700
1;80x45;1451800
5;1280x720;2297200
4;640x360;636900
3;320x180;385800
2;160x90;326600
1;80x45;294600
5;1280x720;30778400
4;640x360;16071200
3;320x180;14538700
2;160x90;15198900
1;80x45;957000
5;1280x720;43977600
4;640x360;1086800
3;320x180;677500
2;160x90;421900
1;80x45;353900
5;1280x720;1879500
4;640x360;565700
3;320x180;335500
2;160x90;283900
1;80x45;261300
5;1280x720;17959000
4;640x360;14387400
3;320x180;15166800
2;160x90;15430500
1;80x45;15384000
5;1280x720;1817500
4;640x360;633100
3;320x180;322400
2;160x90;274600
1;80x45;243000
5;1280x720;16158800
4;640x360;1348300
3;320x180;1184000
2;160x90;560200
1;80x45;439500
5;1280x720;25843900
4;640x360;1357800
3;320x180;1016300
2;160x90;13498400
1;80x45;1282300
5;1280x720;2130300
4;640x360;659500
3;320x180;418100
2;160x90;314100
1;80x45;271000
5;1280x720;47320500
4;640x360;16099500
3;320x180;15653500
2;160x90;15869800
1;80x45;15898800
5;1280x720;2169500
4;640x360;722500
3;320x180;570500
2;160x90;336200
1;80x45;295700
5;1280x720;32854400
4;640x360;15310000
3;320x180;13922100
2;160x90;1700300
1;80x45;894300
5;1280x720;2978700
4;640x360;798600
3;320x180;667400
2;160x90;1690700
1;80x45;450100
5;1280x720;2307900
4;640x360;670200
3;320x180;417700
2;160x90;359800
1;80x45;328400
5;1280x720;15559600
4;640x360;2196600
3;320x180;13408300
2;160x90;1142000
1;80x45;13566900
5;1280x720;1949900
4;640x360;649700
3;320x180;381400
2;160x90;322400
1;80x45;329900
5;1280x720;46530800
4;640x360;10557900
3;320x180;514700
2;160x90;388100
1;80x45;567100
5;1280x720;5945900
4;640x360;6265600
3;320x180;856600
2;160x90;889100
1;80x45;9309300
5;1280x720;2796000
4;640x360;878000
3;320x180;376400
2;160x90;301600
1;80x45;270800
5;1280x720;31744700
4;640x360;14742000
3;320x180;15208000
2;160x90;15768000
1;80x45;16069300
5;1280x720;1921100
4;640x360;694000
3;320x180;362700
2;160x90;309600
1;80x45;279800
5;1280x720;30933800
4;640x360;16222000
3;320x180;15467200
2;160x90;15836700
1;80x45;10519400
5;1280x720;4794600
4;640x360;5706200
3;320x180;499700
2;160x90;382800
1;80x45;8930600
5;1280x720;1859800
4;640x360;553400
3;320x180;328600
2;160x90;286300
1;80x45;258700
5;1280x720;30226300
4;640x360;16150100
3;320x180;16114400
2;160x90;13906500
1;80x45;15683800
5;1280x720;2031200
4;640x360;539300
3;320x180;320000
2;160x90;285400
1;80x45;318200
5;1280x720;30956300
4;640x360;14644500
3;320x180;15570300
2;160x90;14584200
1;80x45;15382200
5;1280x720;9614700
4;640x360;2151400
3;320x180;6884700
2;160x90;544500
1;80x45;9233500
5;1280x720;2028500
4;640x360;767000
3;320x180;590300
2;160x90;371200
1;80x45;280400
5;1280x720;32285900
4;640x360;15327200
3;320x180;15248000
2;160x90;16153200
1;80x45;15338100
5;1280x720;2038300
4;640x360;724000
3;320x180;458800
2;160x90;380000
1;80x45;320600
5;1280x720;64318400
4;640x360;14961000
3;320x180;5602300
2;160x90;803900
1;80x45;1171000
5;1280x720;4789900
4;640x360;5777600
3;320x180;567300
2;160x90;9013200
1;80x45;747000
5;1280x720;3934300
4;640x360;849800
3;320x180;1160500
2;160x90;537400
1;80x45;426800
5;1280x720;32523900
4;640x360;15524400
3;320x180;16511300
2;160x90;14200000
1;80x45;15412400
5;1280x720;2161300
4;640x360;639400
3;320x180;398100
2;160x90;310900
1;80x45;284700
5;1280x720;32354100
4;640x360;15548500
3;320x180;15694200
2;160x90;15559100
1;80x45;15954400
5;1280x720;15117200
4;640x360;17958000
3;320x180;608500
2;160x90;17921400
1;80x45;6791100
5;1280x720;2204100
4;640x360;728800
3;320x180;400500
2;160x90;317500
1;80x45;328400
5;1280x720;17412500
4;640x360;12360400
3;320x180;1730200
2;160x90;13573800
1;80x45;1098400
5;1280x720;1943000
4;640x360;682100
3;320x180;438900
2;160x90;304500
1;80x45;269600
5;1280x720;45476400
4;640x360;13234800
3;320x180;794400
2;160x90;554400
1;80x45;1126500
5;1280x720;4724800
4;640x360;3506800
3;320x180;571100
2;160x90;5689000
1;80x45;593400
5;1280x720;1968800
4;640x360;624600
3;320x180;349500
2;160x90;298700
1;80x45;275700
5;1280x720;31268900
4;640x360;15945500
3;320x180;15790200
2;160x90;11027900
1;80x45;20477700
5;1280x720;2134100
4;640x360;643700
3;320x180;341300
2;160x90;356900
1;80x45;303000
5;1280x720;16101500
4;640x360;14138800
3;320x180;14463600
2;160x90;1432000
1;80x45;13884200
5;1280x720;4120800
4;640x360;3055600
3;320x180;526200
2;160x90;5716800
1;80x45;666100
5;1280x720;4032000
4;640x360;1390500
3;320x180;579500
2;160x90;411200
1;80x45;512900
5;1280x720;18775000
4;640x360;1223500
3;320x180;12365800
2;160x90;16680600
1;80x45;14966800
5;1280x720;1939400
4;640x360;548600
3;320x180;327300
2;160x90;332700
1;80x45;312700
5;1280x720;47544400
4;640x360;16285700
3;320x180;14998300
2;160x90;16140400
1;80x45;10233600
5;1280x720;20984600
4;640x360;1204300
3;320x180;22055100
2;160x90;3251100
1;80x45;764500
5;1280x720;1978200
4;640x360;609700
3;320x180;376000
2;160x90;333300
